step,iteration,rms_m,threshold_m
1,0,1.5108130953456759e-07,1.1000000000000001e-09
1,1,7.5343689814387821e-08,1.1000000000000001e-09
1,2,1.4912291050618651e-08,1.1000000000000001e-09
1,3,2.9515652153728424e-09,1.1000000000000001e-09
1,4,5.8422651209150563e-10,1.1000000000000001e-09
2,0,7.5357277191772776e-08,1.1000000000000001e-09
2,1,3.7608777090265258e-08,1.1000000000000001e-09
2,2,7.4665428614480314e-09,1.1000000000000001e-09
2,3,1.4823522735793959e-09,1.1000000000000001e-09
2,4,2.9431316411652879e-10,1.1000000000000001e-09
3,0,3.8152272570792955e-08,1.1000000000000001e-09
3,1,1.9032622053891807e-08,1.1000000000000001e-09
3,2,3.7718539780652377e-09,1.1000000000000001e-09
3,3,7.4752889954059223e-10,1.1000000000000001e-09
4,0,4.0137623863052214e-08,1.1000000000000001e-09
4,1,2.0027347752222319e-08,1.1000000000000001e-09
4,2,3.9715764233567231e-09,1.1000000000000001e-09
4,3,7.8761232653680154e-10,1.1000000000000001e-09
5,0,3.6049153409894926e-08,1.1000000000000001e-09
5,1,1.7993024113019691e-08,1.1000000000000001e-09
5,2,3.5734242966401036e-09,1.1000000000000001e-09
5,3,7.0969137910392155e-10,1.1000000000000001e-09
6,0,2.6349170483836384e-08,1.2052270184409539e-09
6,1,1.3156785879812935e-08,1.2052171957699247e-09
6,2,2.6171401583877954e-09,1.2052093461077984e-09
6,3,5.2059914901415899e-10,1.2052077817488201e-09
7,0,1.2748120012772947e-08,1.4397129507527779e-09
7,1,6.367571975553866e-09,1.4335102176516155e-09
7,2,1.2683606475965723e-09,1.4285381188768778e-09
8,0,2.2108009853613607e-08,1.6614245955327204e-09
8,1,1.1073712948343136e-08,1.6472037316909831e-09
8,2,2.2298404203072608e-09,1.6358001996964083e-09
8,3,4.4900366659902619e-10,1.6334996561643051e-09
9,0,4.7720346065174405e-08,1.866090328884617e-09
9,1,2.390423242650707e-08,1.8385214751230922e-09
9,2,4.8161296586527401e-09,1.8164223247489395e-09
9,3,9.7031208606638141e-10,1.8119672401642088e-09
10,0,6.9505946794510793e-08,1.9957385244449175e-09
10,1,3.4824297171839361e-08,1.954605593077502e-09
10,2,7.0191463446385703e-09,1.9216348973011702e-09
10,3,1.414734096759004e-09,1.9149902382592473e-09
11,0,8.0595736446987966e-08,2.0159289167172827e-09
11,1,4.0390751528077057e-08,1.9682106392789944e-09
11,2,8.1424381450287976e-09,1.9299749712885221e-09
11,3,1.6406954420569528e-09,1.9222720826956464e-09
12,0,7.9738559352428742e-08,1.9276855292108922e-09
12,1,3.9932905468532434e-08,1.8803212622407423e-09
12,2,8.0599814860581816e-09,1.8426429623066075e-09
12,3,1.6221993947942766e-09,1.8350740774052923e-09
13,0,6.8575513778381177e-08,1.7493371599313496e-09
13,1,3.432510441837829e-08,1.7077331585677935e-09
13,2,6.8972208459512493e-09,1.6744114540789627e-09
13,3,1.3854225520856124e-09,1.6677142126672277e-09
14,0,4.9739385992030813e-08,1.5010905479512492e-09
14,1,2.4868527645885106e-08,1.4710474270382731e-09
14,2,4.9816071023590174e-09,1.4470226042415903e-09
14,3,9.9789407622410283e-10,1.4422091207341153e-09
15,0,2.5999013007483676e-08,1.2159750527237555e-09
15,1,1.2994814551812374e-08,1.2004059355543849e-09
15,2,2.6004588607939795e-09,1.1879554304503411e-09
15,3,5.1920207545753331e-10,1.185466742963773e-09
16,0,1.553047762059983e-09,1.1000000000000001e-09
16,1,7.758169353794018e-10,1.1000000000000001e-09
17,0,2.2641619844970034e-08,1.1000000000000001e-09
17,1,1.1301773462775026e-08,1.1000000000000001e-09
17,2,2.2451623161957001e-09,1.1000000000000001e-09
17,3,4.4602007439095544e-10,1.1000000000000001e-09
18,0,4.0298167679832109e-08,1.1000000000000001e-09
18,1,2.01035922417004e-08,1.1000000000000001e-09
18,2,3.9844352130188981e-09,1.1000000000000001e-09
18,3,7.8975721192171443e-10,1.1000000000000001e-09
19,0,5.0768455001591043e-08,1.1000000000000001e-09
19,1,2.531831142960298e-08,1.1000000000000001e-09
19,2,5.0111096694769432e-09,1.1000000000000001e-09
19,3,9.9184010824549991e-10,1.1000000000000001e-09
20,0,5.4484275572871793e-08,1.1000000000000001e-09
20,1,2.7167428766541876e-08,1.1000000000000001e-09
20,2,5.373934269880963e-09,1.1000000000000001e-09
20,3,1.063027423974447e-09,1.1000000000000001e-09
