step,time_s,iterations,max_displacement_m,mass_defect,wall_leakage,continuity,inlet_m3_s,lower_m3_s,upper_m3_s,normalization_scale_m3_s,moving_mass_defect_m3_s,wall_relative_leakage_m3_s,backward_euler_volume_rate_m3_s,total_fluid_surface_outward_flow_m3_s,total_material_surface_outward_flow_m3_s,inlet_pressure_pa,conservation_passed
1,0.050000000000000003,5,2.2701902727975293e-07,0.011262505388432044,0.011262544703776705,2.2280936979728353e-14,-8.1637467010311678e-08,4.033792597927226e-08,4.0366591972421754e-08,9.9999999999999995e-07,1.1262505388432044e-08,1.1262544703776703e-08,9.3290974327301256e-10,1.1262544703798983e-08,9.3294905863995121e-10,5.7341522555726971,1
2,0.10000000000000001,5,3.2039181127794717e-07,0.02112414860319509,0.021124159915916891,3.602309529122494e-14,-1.4778274321540507e-07,7.3599046787476106e-08,7.3672842004872196e-08,9.9999999999999995e-07,2.112414860319509e-08,2.1124159915916891e-08,5.1084311033481279e-10,2.1124159915953029e-08,5.108544230927521e-10,7.8647450843757882,1
3,0.15000000000000002,4,4.6621332514028013e-07,0.033608801637978185,0.033608825395021712,5.3498629899903049e-14,-2.2793394909648707e-07,1.1353286025644295e-07,1.1366078359270295e-07,9.9999999999999995e-07,3.3608801637978181e-08,3.360882539502171e-08,7.4028149029650379e-10,3.3608825395076066e-08,7.4030524739438907e-10,11.183221215612905,0
4,0.20000000000000001,4,6.5580557329069157e-07,0.049896308680031545,0.049896352312247268,7.4728323718653073e-14,-3.2694574275065962e-07,1.6287535028687072e-07,1.6306595020100845e-07,9.9999999999999995e-07,4.9896308680031545e-08,4.9896352312247266e-08,1.0043986305659895e-09,4.9896352312320515e-08,1.0044422628549573e-09,15.364745084375787,0
5,0.25,4,8.740146017550919e-07,0.070029063495658392,0.070029129446980268,1.0243370436035104e-13,-4.4258885097189064e-07,2.2054778388870626e-07,2.2080509106430016e-07,9.9999999999999995e-07,7.002906349565839e-08,7.0029129446980268e-08,1.2359100675628581e-09,7.0029129447082376e-08,1.2359760189868476e-09,20,0
6,0.29999999999999999,4,1.1052077817488201e-06,0.093340387431445376,0.093340471847512999,1.3880504268946081e-13,-5.6790241242704401e-07,2.8308957997422208e-07,2.8341603919580661e-07,9.9999999999999995e-07,9.3340387431445379e-08,9.3340471847512992e-08,1.3967088409478845e-09,9.3340471847651746e-08,1.3967932571542579e-09,24.635254915624213,0
7,0.34999999999999998,3,1.3272851788311676e-06,0.11866378552485159,0.11866387507132518,1.4727888767960716e-13,-6.9248358560093568e-07,3.4532879328057262e-07,3.4572126679005128e-07,9.9999999999999995e-07,1.1866378552485158e-07,1.1866387507132518e-07,1.4334359838378209e-09,1.1866387507147255e-07,1.4335255304587819e-09,28.816778784387093,0
8,0.39999999999999997,4,1.5329195476656578e-06,0.14424681360117547,0.14424688990895806,2.0312164403790892e-13,-8.0383439276834673e-07,4.0103677201494975e-07,4.0148497137229581e-07,9.9999999999999995e-07,1.4424681360117546e-07,1.4424688990895805e-07,1.3125730733181854e-09,1.4424688990916091e-07,1.3126493813036436e-09,32.135254915624216,0
9,0.44999999999999996,4,1.7108446320870018e-06,0.16723084661150547,0.16723089220719489,2.1669174878199448e-13,-8.9004585565849004e-07,4.4427361672167565e-07,4.4476864728023396e-07,9.9999999999999995e-07,1.6723084661150548e-07,1.6723089220719488e-07,1.0035460608883491e-09,1.6723089220741407e-07,1.003591656796941e-09,34.265847744427305,0
10,0.49999999999999994,4,1.8133164078840455e-06,0.18376352299965565,0.18376353780280674,2.1826339194584523e-13,-9.4262927665476651e-07,4.70767835504387e-07,4.713076394617542e-07,9.9999999999999995e-07,1.8376352299965565e-07,1.8376353780280673e-07,5.5378688547713648e-10,1.8376353780302227e-07,5.5380168884376164e-10,35,0
11,0.54999999999999993,4,1.8203326441938467e-06,0.19024975809282191,0.19024975882072118,2.0835924827901812e-13,-9.5776162859589498e-07,4.7858222405398857e-07,4.7914755496142212e-07,9.9999999999999995e-07,1.9024975809282189e-07,1.9024975882072116e-07,3.1848852582827306e-11,1.9024975882093213e-07,3.1849580693050544e-11,34.265847744427305,0
12,0.59999999999999998,4,1.7331706332468276e-06,0.18523539826374519,0.1852354084499975,2.1339936314888029e-13,-9.3564241790877732e-07,4.6777762824342721e-07,4.683490027956557e-07,9.9999999999999995e-07,1.8523539826374517e-07,1.852354084499975e-07,-4.8422331655641662e-10,1.8523540845021016e-07,-4.8421313009141298e-10,32.135254915624216,0
13,0.65000000000000002,4,1.5660322081043026e-06,0.16983281023667512,0.16983284728019576,2.1352033831346617e-13,-8.7945344091097895e-07,4.3991241602624013e-07,4.4046864278367496e-07,9.9999999999999995e-07,1.6983281023667512e-07,1.6983284728019576e-07,-9.2765494245757043e-10,1.6983284728041011e-07,-9.2761789872257144e-10,28.8167787843871,0
14,0.70000000000000007,4,1.3410036304140291e-06,0.14699557422797421,0.14699564160343176,1.603580607301425e-13,-7.9465648508500315e-07,3.9768766843275821e-07,3.9821766644710489e-07,9.9999999999999995e-07,1.469955742279742e-07,1.4699564160343175e-07,-1.2489171703169151e-09,1.4699564160359255e-07,-1.2488497946985711e-09,24.635254915624213,0
15,0.75000000000000011,4,1.0848455981986604e-06,0.12057013726603359,0.12057022417630697,1.4483622333073807e-13,-6.8889465550672504e-07,3.4491213631759834e-07,3.453991601668003e-07,9.9999999999999995e-07,1.2057013726603359e-07,1.2057022417630696e-07,-1.4167278879464462e-09,1.2057022417645093e-07,-1.4166409775291098e-09,19.999999999999989,0
16,0.80000000000000016,2,8.2831863867186466e-07,0.094152828863313873,0.094152916105329679,9.3749341904309945e-14,-5.717618908385154e-07,2.863727088407474e-07,2.868078759255758e-07,9.9999999999999995e-07,9.4152828863313868e-08,9.4152916105329668e-08,-1.4187811698232708e-09,9.4152916105422974e-08,-1.4186939277141674e-09,15.364745084375778,0
17,0.8500000000000002,4,5.9904408253993653e-07,0.070527322655585839,0.070527393533426797,7.7107708750661857e-14,-4.5433232226596255e-07,2.2761588650355654e-07,2.2799331764468152e-07,9.9999999999999995e-07,7.0527322655585843e-08,7.0527393533426797e-08,-1.2769527601160676e-09,7.052739353350307e-08,-1.2768818821988392e-09,11.183221215612894,0
18,0.90000000000000024,4,4.1721209819979681e-07,0.051305659847312675,0.051305704748066998,5.7085388433509546e-14,-3.4813900693175031e-07,1.7441717789228409e-07,1.7473712970661191e-07,9.9999999999999995e-07,5.130565984731267e-08,5.1305704748066995e-08,-1.0153455678997447e-09,5.1305704748124157e-08,-1.0153006670882561e-09,7.8647450843757749,0
19,0.95000000000000029,4,2.9455460360268885e-07,0.037331089507944344,0.037331110306828945,3.1451681635950633e-14,-2.6366361156460441e-07,1.3204224535169136e-07,1.3230948615470587e-07,9.9999999999999995e-07,3.7331089507944341e-08,3.7331110306828944e-08,-6.8814074067696673e-10,3.7331110306860258e-08,-6.8811994176105154e-10,5.7341522555726883,0
20,1.0000000000000002,4,2.3466855233134638e-07,0.028963164847373615,0.028963170104844331,2.8524134351760614e-14,-2.0919455469682493e-07,1.0465467930856257e-07,1.0487724986059235e-07,9.9999999999999995e-07,2.8963164847373615e-08,2.8963170104844329e-08,-3.3737972980060621e-10,2.8963170104872791e-08,-3.3737447230143143e-10,5,1
