step,iteration,rms_m,threshold_m
1,0,1.5108130953457619e-07,1.1000000000000001e-09
1,1,7.5343689814393101e-08,1.1000000000000001e-09
1,2,1.4912291050619766e-08,1.1000000000000001e-09
1,3,2.9515652153736692e-09,1.1000000000000001e-09
1,4,5.8422651209062085e-10,1.1000000000000001e-09
2,0,7.5357277191791278e-08,1.1000000000000001e-09
2,1,3.7608777090272114e-08,1.1000000000000001e-09
2,2,7.4665428614486105e-09,1.1000000000000001e-09
2,3,1.4823522735812885e-09,1.1000000000000001e-09
2,4,2.9431316411836792e-10,1.1000000000000001e-09
3,0,3.8152272570807566e-08,1.1000000000000001e-09
3,1,1.9032622053897134e-08,1.1000000000000001e-09
3,2,3.771853978066811e-09,1.1000000000000001e-09
3,3,7.4752889954048366e-10,1.1000000000000001e-09
4,0,4.0137623863051301e-08,1.1000000000000001e-09
4,1,2.0027347752222392e-08,1.1000000000000001e-09
4,2,3.9715764233524044e-09,1.1000000000000001e-09
4,3,7.876123265361885e-10,1.1000000000000001e-09
5,0,3.6049153409903364e-08,1.1000000000000001e-09
5,1,1.7993024113023314e-08,1.1000000000000001e-09
5,2,3.5734242966389637e-09,1.1000000000000001e-09
5,3,7.0969137910971471e-10,1.1000000000000001e-09
6,0,2.6349170483819857e-08,1.2052270184409516e-09
6,1,1.3156785879806008e-08,1.2052171957699243e-09
6,2,2.6171401583859508e-09,1.2052093461078001e-09
6,3,5.2059914901033855e-10,1.2052077817488193e-09
7,0,1.2748120012784586e-08,1.4397129507527655e-09
7,1,6.3675719755585562e-09,1.4335102176516083e-09
7,2,1.2683606475952062e-09,1.4285381188768718e-09
8,0,2.2108009853612502e-08,1.6614245955327249e-09
8,1,1.1073712948349097e-08,1.6472037316909846e-09
8,2,2.229840420308612e-09,1.6358001996964034e-09
8,3,4.4900366658969973e-10,1.6334996561642993e-09
9,0,4.7720346065175848e-08,1.8660903288846215e-09
9,1,2.3904232426515094e-08,1.8385214751231019e-09
9,2,4.8161296586623932e-09,1.8164223247489454e-09
9,3,9.7031208606623955e-10,1.8119672401642065e-09
10,0,6.9505946794497677e-08,1.9957385244449042e-09
10,1,3.4824297171830586e-08,1.954605593077495e-09
10,2,7.0191463446348455e-09,1.9216348973011744e-09
10,3,1.4147340967662817e-09,1.9149902382592518e-09
11,0,8.0595736446977405e-08,2.015928916717279e-09
11,1,4.0390751528084416e-08,1.9682106392789956e-09
11,2,8.1424381450289498e-09,1.9299749712885085e-09
11,3,1.6406954420447219e-09,1.9222720826956273e-09
12,0,7.9738559352395549e-08,1.9276855292109811e-09
12,1,3.9932905468531679e-08,1.8803212622407746e-09
12,2,8.0599814860612488e-09,1.8426429623066582e-09
12,3,1.6221993947852268e-09,1.8350740774053389e-09
13,0,6.8575513778388959e-08,1.7493371599314805e-09
13,1,3.4325104418378469e-08,1.707733158567912e-09
13,2,6.8972208459597651e-09,1.674411454079074e-09
13,3,1.385422552080961e-09,1.6677142126673317e-09
14,0,4.9739385992100508e-08,1.5010905479513793e-09
14,1,2.4868527645919811e-08,1.4710474270383656e-09
14,2,4.981607102365093e-09,1.4470226042416555e-09
14,3,9.9789407622509937e-10,1.4422091207341724e-09
15,0,2.5999013007461812e-08,1.2159750527237627e-09
15,1,1.2994814551798937e-08,1.2004059355544056e-09
15,2,2.6004588607863136e-09,1.1879554304503759e-09
15,3,5.1920207547024966e-10,1.1854667429638138e-09
16,0,1.5530477620510391e-09,1.1000000000000001e-09
16,1,7.7581693537320519e-10,1.1000000000000001e-09
17,0,2.2641619844956009e-08,1.1000000000000001e-09
17,1,1.1301773462770811e-08,1.1000000000000001e-09
17,2,2.2451623161965984e-09,1.1000000000000001e-09
17,3,4.4602007438973442e-10,1.1000000000000001e-09
18,0,4.0298167679852557e-08,1.1000000000000001e-09
18,1,2.0103592241708162e-08,1.1000000000000001e-09
18,2,3.9844352130201645e-09,1.1000000000000001e-09
18,3,7.89757211918509e-10,1.1000000000000001e-09
19,0,5.07684550015951e-08,1.1000000000000001e-09
19,1,2.5318311429606461e-08,1.1000000000000001e-09
19,2,5.0111096694792014e-09,1.1000000000000001e-09
19,3,9.9184010824817481e-10,1.1000000000000001e-09
20,0,5.4484275572858002e-08,1.1000000000000001e-09
20,1,2.7167428766534174e-08,1.1000000000000001e-09
20,2,5.3739342698778362e-09,1.1000000000000001e-09
20,3,1.0630274239757273e-09,1.1000000000000001e-09
