step,time_s,iterations,max_displacement_m,mass_defect,wall_leakage,continuity,inlet_m3_s,lower_m3_s,upper_m3_s,normalization_scale_m3_s,moving_mass_defect_m3_s,wall_relative_leakage_m3_s,backward_euler_volume_rate_m3_s,total_fluid_surface_outward_flow_m3_s,total_material_surface_outward_flow_m3_s,inlet_pressure_pa,conservation_passed
1,0.050000000000000003,5,2.2701902727976608e-07,0.011262505388431796,0.011262544703772496,2.6350252003182973e-14,-8.1637467010305445e-08,4.0337925979270831e-08,4.0366591972420742e-08,9.9999999999999995e-07,1.1262505388431796e-08,1.1262544703772496e-08,9.3290974327301256e-10,1.1262544703798802e-08,9.3294905864001924e-10,5.7341522555726971,1
2,0.10000000000000001,5,3.2039181127794579e-07,0.021124148603190927,0.021124159915916488,3.1614119228740734e-14,-1.4778274321540716e-07,7.3599046787475034e-08,7.3672842004870965e-08,9.9999999999999995e-07,2.1124148603190924e-08,2.1124159915916488e-08,5.1084311033481279e-10,2.1124159915948791e-08,5.1085442309267951e-10,7.8647450843757882,1
3,0.15000000000000002,4,4.6621332514027817e-07,0.033608801637976506,0.033608825395020844,5.2498982129632715e-14,-2.2793394909648524e-07,1.1353286025644138e-07,1.1366078359270185e-07,9.9999999999999995e-07,3.3608801637976507e-08,3.3608825395020843e-08,7.4028149029650379e-10,3.3608825395074392e-08,7.4030524739438979e-10,11.183221215612905,0
4,0.20000000000000001,4,6.5580557329068797e-07,0.049896308680029887,0.049896352312248468,7.0967133473374456e-14,-3.2694574275066263e-07,1.6287535028686995e-07,1.6306595020100821e-07,9.9999999999999995e-07,4.9896308680029884e-08,4.9896352312248464e-08,1.0043986305659895e-09,4.9896352312318827e-08,1.0044422628549341e-09,15.364745084375787,0
5,0.25,4,8.7401460175510281e-07,0.070029063495684551,0.070029129446987179,1.2134015803116932e-13,-4.4258885097188143e-07,2.2054778388871092e-07,2.2080509106430458e-07,9.9999999999999995e-07,7.0029063495684542e-08,7.0029129446987177e-08,1.2359100675628581e-09,7.0029129447108554e-08,1.2359760189868691e-09,20,0
6,0.29999999999999999,4,1.1052077817488192e-06,0.09334038743145831,0.093340471847515205,1.4929720837423655e-13,-5.6790241242703448e-07,2.830895799742216e-07,2.8341603919580777e-07,9.9999999999999995e-07,9.3340387431458309e-08,9.3340471847515202e-08,1.3967088409478845e-09,9.3340471847664664e-08,1.3967932571542441e-09,24.635254915624213,0
7,0.34999999999999998,3,1.3272851788311661e-06,0.11866378552485514,0.11866387507132546,1.4954887807560581e-13,-6.9248358560093292e-07,3.4532879328057368e-07,3.4572126679004916e-07,9.9999999999999995e-07,1.1866378552485514e-07,1.1866387507132546e-07,1.4334359838378209e-09,1.186638750714761e-07,1.4335255304587675e-09,28.816778784387093,0
8,0.39999999999999997,4,1.5329195476656591e-06,0.14424681360117078,0.14424688990895826,1.9705820335274209e-13,-8.0383439276835594e-07,4.0103677201495298e-07,4.0148497137229729e-07,9.9999999999999995e-07,1.4424681360117077e-07,1.4424688990895826e-07,1.3125730733171266e-09,1.4424688990915726e-07,1.312649381303613e-09,32.135254915624216,0
9,0.44999999999999996,4,1.7108446320869961e-06,0.16723084661149937,0.1672308922071947,2.1241419103932964e-13,-8.9004585565849395e-07,4.4427361672167729e-07,4.4476864728023147e-07,9.9999999999999995e-07,1.6723084661149936e-07,1.6723089220719469e-07,1.0035460608894079e-09,1.6723089220740693e-07,1.0035916567969635e-09,34.265847744427305,0
10,0.49999999999999994,4,1.8133164078840409e-06,0.18376352299966503,0.18376353780280821,2.2733652928978625e-13,-9.4262927665475772e-07,4.7076783550438536e-07,4.7130763946175632e-07,9.9999999999999995e-07,1.8376352299966502e-07,1.8376353780280821e-07,5.5378688547713648e-10,1.8376353780303169e-07,5.5380168884381458e-10,35,0
